,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
41,"Kiwanja cha Ndege ss"," 329 "," 22 "," 50 ",3005,"Dodoma","21775",31-Jul-07,50
42,"Canon Andrea Mwaka ss"," 35 "," 17 "," 50 ",405,"Dodoma","21776",03-Aug-07,50
43,"Dodoma Central ss"," 850 "," 30 "," 50 ",85,"Dodoma","21777",30-Jul-07,50
44,"Hijra Muslim Sem ss"," 400 "," 40 "," 50 ",622,"Dodoma","21778",30-Jul-07,50
45,"Meriwa ss"," 497 "," 17 "," 50 ",2060,"Dodoma","21779",03-Aug-07,50
46,"Nkuhungu ss"," 656 "," 20 "," 50 ",1523,"Dodoma","21780",03-Aug-07,50
47,"Ilolo ss",,," 50 ",,"Mpwapwa","21605",28-Jul-07,50
48,"Salesian Seminary"," 155 "," 10 "," 50 ",2079,"Dodoma","21781",01-Aug-07,50
49,"Dodoma Makulu ss",,," 50 ",974,"Dodoma","21782",31-Jul-07,50
50,"Dar-ul- Muslimeen Ss"," 170 "," 13 "," 50 ",2736,"Dodoma","21783",30-Jul-07,50
51,"St. Irene ss",,," 50 ",1958,"Dodoma","21784",31-Jul-07,50
52,"Amani SS",,," 50 ",,"Dodoma(v)","21754",06-Aug-07,50
53,"PIO ss",,," 50 ",1,"Kibaigwa","21622",30-Jul-07,50
54,"Sanza SS",,," 50 ",,"Singida","21639",31-Aug-07,50
55,"Imani ss",,," 50 ",2870,"Dodoma","21785",01-Aug-07,50
56,"Chunyu ss",,," 50 ",,"Mpwapwa","21606",01-Aug-07,50
57,"Godegode ss",,," 50 ",,"Mpwapwa","21607",15-Aug-07,50
58,"Matomondo ss",,," 50 ",,"Mpwapwa","21608",17-Aug-07,50
59,"Pwaga ss",,," 50 ",,"Mpwapwa","21609",09-Aug-07,50
60,"Belege ss",,," 50 ",,"Mpwapwa","21610",08-Aug-07,50
61,"Mima ss",,," 50 ",,"Mpwapwa","21611",19-Aug-07,50
62,"Ipera ss",,," 50 ",,"Mpwapwa","21612",31-Jul-07,50
63,"Mtera ss",,," 50 ",,"Mpwapwa","21613",18-Aug-07,50
64,"Mpwapwa TTC",,," 75 ",,"Mpwapwa","21614",02-Aug-07,75
65,"Bustani TTC",,," 75 ",,,"21786",07-Aug-07,75
66,"Chuo Cha VETA ",,," 75 ",2197,"Dodoma","21787",30-Jul-07,75
67,"Chuo Cha Mipango",,,75,138,"Dodoma","21788",31-Jul-07,75
68,"CCT secretarial College",,,50,,"Dodoma","21789",02-Aug-07,50
69,"College of Business Education ",,,75,200,"Dodoma","21790",30-Jul-07,75
70,"Madini Institute",,,75,,"Dodoma","21791",01-Aug-07,75
71,"RCH",,,50,,"Kondoa","21792",07-Aug-07,50
72,"Chuo Cha Mifugo ",,,75,,"Mpwapwa","20920",04-Oct-07,75
73,"Mirembe School of Nursing",,,50,,"Dodoma","21793",02-Aug-07,50
74,"Invironmental &Hygien School",,,50,,"Mpwapwa","21616",28-Jul-07,50
75,"Msakwalo ss",,,50,,"Kondoa","21637",18-Aug-07,50
