,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
14,"Ndago (kibaya) ss"," 420 "," 18 "," 50 ",60,"Kiomboi","20715",06-Aug-07,50
15,"Shelui ss",,," 50 ",154,"Kiomboi","20701",01-Aug-07,50
16,"Kizaga ss",,," 50 ","p/bag","Iramba","20716",03-Aug-07,50
17,"Itigi ss",,," 50 ",10,"Itigi","20717",03-Aug-07,50
18,"Kinyeto ss",,," 50 ",48,"Manyoni","20718",20-Aug-07,50
19,"Mkwese ss",,," 50 ",147,"Manyoni","20719",12-Aug-07,50
20,"Munduli ss   Chikunyu ss",,," 50 ",148,"Manyoni","20721",02-Aug-07,50
21,"Dr.Salmin Amour ss"," 675 "," 28 "," 50 ",1023,"Singida","20722",02-Aug-07,50
22,"Ikungi ss",,," 50 ",953,"Ikungi-Singida(v)","20723",31-Jul-07,50
23,"Ilongero ss",,," 50 ",972,"Singida","20724",02-Aug-07,50
24,"Mngaa ss",,," 50 ",1006,"Singida(v)","20725",30-Aug-07,50
25,"Puma ss",,," 50 ",429,"Singida(v)","20726",02-Aug-07,50
26,"Lambi ss",,," 50 ",685,"Singida(v)","20727",12-Aug-07,50
27,"Ihanja ss",,," 50 ",262,"Singida(v)","20728",27-Aug-07,50
28,"Merya ss",,," 50 ",964,"Singida(v)","20736",30-Aug-07,50
29,"Dung'unyi Seminary",,," 50 ",275,"Singida","20726",20-Aug-07,50
30,"Senge ss"," 623 "," 25 "," 50 ",478,"Singida","20731",09-Aug-07,50
31,"Murigha Girls ss",,," 50 ",470,"Singida",,,
32,"Amani Girls ss",,," 50 ",68,"Manyoni","20733",31-Jul-07,50
33,"Kilimatinde ss",,," 50 ","p/bag","Manyoni","20720",28-Aug-07,50
34,"Sinai Puma Jnr. Seminary",,," 50 ",207,"Singida(v)","20734",02-Aug-07,50
35,"Lumumba ss   Ughandi ss",,," 50 ",,"Singida","20735",05-Aug-07,50
36,"Issuna ss",,," 50 ",,"Singida","20737",05-Aug-07,50
37,"Ngamu ss",,," 50 ",,"Singida","20738",02-Aug-07,50
38,"Mgori ss",,," 50 ",,"Singida","20739",02-Aug-07,50
39,"Al-Azhar ss",,," 50 ",,"Singida","20740",10-Aug-07,50
40,"Kinampanda TTC",,," 75 ",532,"Kinampanda",,,
41,"Singida Sec School"," 345 "," 15 "," 50 ",589,"Singida","20742",25-Aug-07,50
42,"Unyamikumi SS"," 60 "," 9 "," 50 ",751,"Singida ","20743",30-Aug-07,50
43,"Luluma ss"," 80 "," 7 "," 50 ",,"Kiomboi",,,
44,"Kisiriri SS  Minyughe ss",,," 50 ",,"Kiomboi","20745",02-Aug-07,50
,,,," 2,225 ",,,,,"2,050"
,"TABORA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Ali Hassan Mwinyi ss"," 480 "," 25 "," 50 ",548,"Tabora","21501",01-Aug-07,50
2,"Badri SS"," 320 "," 13 "," 50 ",532,"Nzega","21502",15-Aug-07,50
3,"Bishop Kisanji ss"," 345 "," 16 "," 50 ",,"Kigwa","21503",12-Aug-07,50
4,"Cheyo ss",,," 50 ",,"Tabora","21504",09-Aug-07,50
5,"Chabutwa ss",,," 50 ",,"Urambo","21505",05-Aug-07,50
6,"Choma ss",,," 50 ",,"Igunga","21506",15-Aug-07,50
7,"Chuo cha Ardhi ",,," 50 ",,,"21507",10-Aug-07,50
8,"Chuo cha Maarifa ya Nyumbani",,," 50 ",,,"21508",24-Aug-07,50
9,"Chuo Cha Nursing Nkinga",,," 50 ",,,"21509",14-Aug-07,50
10,"Chuo Cha Reli ",,," 50 ",,,"21510",10-Aug-07,50
11,"Folk Dev. College Nzega",,," 50 ",,,"21511",01-Aug-07,50
12,"Folk Dev. College Sikonge",,," 50 ",,,"21512",07-Aug-07,50
13,"Folk Dev. College Urambo",,," 50 ",,,"21513",13-Aug-07,50
14,"Malampaka",,," 50 ",,,"21514",15-Aug-07,50
15,"Goweko ss",,," 50 ",,"Urambo",,,
16,"Idete ss"," 320 "," 7 "," 50 ",640,"Tabora",,,
17,"Igalula ss",,," 50 ",,,"21517",06-Aug-07,50
18,"Igingwa ss",,," 50 ",,"Urambo","21518",10-Aug-07,50
19,"Igunga SS"," 400 "," 20 "," 50 ",169,"Igunga","21519",15-Aug-07,50
20,"Igurubi ss"," 362 "," 15 "," 50 ","P/bag","Igunga","21520",15-Aug-07,50
21,"Ipuli ss",,," 50 ",,"Urambo","21521",01-Aug-07,50
22,"Isevya"," 540 "," 30 "," 50 ",19,"Tabora","21522",10-Aug-07,50
23,"Itaga Seminary"," 384 "," 15 "," 50 ",494,"Tabora","21523",15-Aug-07,50
24,"Itetemia ss",,," 50 ",,,"21524",14-Aug-07,50
25,"Itobo ss"," 356 "," 15 "," 50 ","P/bag","Nzega","21525",16-Aug-07,50
26,"Itumba ss",,," 50 ",,"Igunga","21526",15-Aug-07,50
27,"Itundu ss",,," 50 ",,"Urambo","21527",14-Aug-07,50
28,"Kaliua ss"," 320 "," 13 "," 50 ",35,"Kaliua","21528",09-Aug-07,50
29,"Kazahili ss",,," 50 ",,"Urambo","21529",10-Aug-07,50
30,"Kazaroho ss",,," 50 ",,"Urambo","21530",29-Aug-07,50
31,"Kazima SS"," 800 "," 35 "," 50 ",369,"Tabora","21531",01-Aug-07,50
32,"Kili SS"," 350 "," 15 "," 50 ",4,"Bukene","21514",15-Aug-07,50
33,"Kiwere ss",,," 50 ",72,"Sikonge","21533",10-Aug-07,50
34,"Lusangi Moravian Sem."," 200 "," 12 "," 50 ",64,"Sikonge","21534",06-Aug-07,50
35,"Lusu ss",,," 50 ",265,"Ndala","21535",24-Aug-07,50
36,"Ndala TTC",,," 50 ",930,"Tabora","21536",01-Aug-07,50
37,"Mibono ss",,," 50 ",108,"Sikonge","21537",06-Aug-07,50
38,"Mihayo SS"," 600 "," 23 "," 50 ","P/bag","Tabora","21538",06-Aug-07,50
39,"Mirambo SS"," 800 "," 50 "," 50 ",356,"Tabora","21539",06-Aug-07,50
40,"Mkindo ss"," 326 "," 15 "," 50 ","P/bag","Urambo","21540",17-Aug-07,50
41,"Mkumba ss",,," 50 ",,"Nzega","21541",16-Aug-07,50
42,"Mole ss",,," 50 ",105,"Sikonge","24800",10-Aug-07,50
43,"Mwamala ss"," 460 "," 28 "," 50 ",430,"Nzega","21543",16-Aug-07,50
44,"Mwamashimba ss",,," 50 ",,"Sikonge","21544",15-Aug-07,50
45,"Mwanzugi ss",,," 50 ",2,"Igunga","21545",15-Aug-07,50
46,"Nzega ss",,," 50 ",,,"21546",17-Aug-07,50
47,"Nanga SS"," 420 "," 17 "," 50 ",108,"Igunga","21547",15-Aug-07,50
48,"Nata ss / Bulunde ss",,," 50 ",503,"Nzega","21548",17-Aug-07,50
49,"Unyanyembe ss / Kanyenye ss",,," 50 ",9,"Ndala","20092",14-Aug-07,50
50,"Ndembezi ss",,," 50 ",,"Sikonge","21549",15-Aug-07,50
51,"Ndono ss"," 360 "," 15 "," 50 ",327,"Tabora","21550",14-Aug-07,50
52,"New Era ss"," 320 "," 15 "," 50 ",100,"Tabora","20051",10-Aug-07,50
53,"Ngulu SS"," 380 "," 15 "," 50 ",76,"Sikonge","20052",07-Aug-07,50
54,"Pangale ss",,," 50 ",,"Sikonge","20053",11-Aug-07,50
55,"Puge ss"," 330 "," 16 "," 50 ",82,"Ndala","20054",16-Aug-07,50
56,"Sikonge SS"," 320 "," 15 "," 50 ",85,"Sikonge","20055",05-Aug-07,50
57,"St.Thomas Aguinus ss"," 480 "," 31 "," 50 ",184,"Igunga","20056",15-Aug-07,50
58,"Tabora Boys SS"," 660 "," 70 "," 50 ",374,"Tabora","20057",10-Aug-07,50
59,"Tabora Girls SS"," 670 "," 42 "," 50 ",374,"Tabora","20058",10-Aug-07,50
60,"TABORA TTC"," 350 "," 15 "," 50 ",320,"Tabora","20059",01-Aug-07,50
61,"Bukumbi ss / Mwongozo ss",,," 50 ",553,"Nzega","20089",01-Aug-07,50
62,"TTC ss",,," 50 ",,,"20060",08-Aug-07,50
63,"Uchama SS"," 423 "," 38 "," 50 ",190,"  Nzega","20061",01-Aug-07,50
64,"Ugunda ss",,," 50 ",120,"Sikonge","20062",06-Aug-07,50
65,"Ukombozi SS"," 450 "," 22 "," 50 ",30,"Urambo","20063",01-Aug-07,50
66,"Ulaya ss"," 400 "," 20 "," 50 ",568,"Nzega",,,
67,"Ulyankuru ss"," 320 "," 13 "," 50 ",157,"Ulyankula","20065",06-Aug-07,50
68,"Fundikira ss"," 350 "," 15 "," 50 ",652,"Nzega","20066",14-Aug-07,50
69,"Urambo SS"," 373 "," 14 "," 50 ",211,"Urambo","20067",10-Aug-07,50
70,"Usoke ss"," 364 "," 24 "," 50 ",44,"Usoke","20068",18-Aug-07,50
71,"Usongelani ss",,," 50 ",73,"Urambo","20069",18-Aug-07,50
72,"Usongo ss"," 343 "," 15 "," 50 ",182,"Igunga",,,
73,"Uyowe ss",,," 50 ",,,"20071",09-Aug-07,50
74,"Uyui SS"," 690 "," 34 "," 50 ",400,"Tabora","20072",10-Aug-07,50
75,"Uyumbu ss",,," 50 ",,"Urambo","20073",10-Aug-07,50
76,"Veta Igunga / IAE ss",,," 50 ",,,"20091",14-Aug-07,50
77,"Veta Tabora"," 350 "," 15 "," 50 ",,"Tabora","20074",01-Aug-07,50
78,"Veta Ulyankulu",,," 50 ",157,"Ulyankula","20075",01-Aug-07,50
79,"Vumilia ss",,," 50 ",218,"Urambo","20076",13-Aug-07,50
80,"Ziba ss"," 340 "," 12 "," 50 ","P/bag","Igunga","20077",15-Aug-07,50
81,"Umoja ss / Lwanzali ss",,," 50 ",,,"20090",14-Aug-07,50
82,"Madaha ss",,," 50 ",,,"20078",20-Aug-07,50
83,"Tonge ss / Chief ss",,," 50 ",,,"20079",17-Aug-07,50
84,"Kashishi ss",,," 50 ",,,"20080",25-Aug-07,50
85,"Muungano ss",,," 50 ",,,"20081",14-Aug-07,50
86,"Igagala ss",,," 50 ",,,"20082",07-Aug-07,50
87,"Ukondamoyo ss",,," 50 ",,,"20083",21-Aug-07,50
88,"Ukumbi Sigangani ss",,," 50 ",,,"20084",01-Aug-07,50
89,"Makazi ss",,," 50 ",,,"20085",17-Aug-07,50
90,"Kampala ss",,," 50 ",,,"20086",16-Aug-07,50
91,"Mwisi ss",,," 50 ",,,"20087",16-Aug-07,50
92,"Kariakoo ss",,," 50 ",,,"20088",10-Aug-07,50
,,,," 4,600 ",,,,," 4,400 "
,"TANGA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Boza SS"," 270 "," 28 "," 50 ",87,"Pangani","17700",25-Aug-07,50
2,"Bungu SS"," 355 "," 30 "," 50 ",514,"Korogwe","18689",04-Aug-07,50
3,"Handeni SS"," 524 "," 22 "," 50 ",271,"Handeni","20157",02-Aug-07,50
4,"Kideleko SS"," 713 "," 18 "," 50 ",384,"Handeni","20158",02-Aug-07,50
5,"Korogwe Girls SS"," 774 "," 68 "," 50 ",155,"Korogwe","18690",20-Aug-07,50
6,"Kwa Mkoro SS"," 120 "," 16 "," 50 ",50,"Amani","20133",14-Aug-07,50
7,"Lushoto ss",,," 50 ",50,"Lushoto","20184",23-Aug-07,50
8,"Magamba SS"," 230 "," 20 "," 50 ",99,"Lushoto","20151",06-Aug-07,50
9,"Mkuzi SS"," 206 "," 14 "," 50 ",142,"Muheza","20137",13-Aug-07,50
10,"Mombo SS"," 385 "," 22 "," 50 ",192,"Mombo","18697",10-Aug-07,50
11,"Shambalai SS"," 400 "," 19 "," 50 ",52,"Lushoto","20152",11-Aug-07,50
12,"Kwabutu ss"," 167 "," 11 "," 50 ",455,"Muheza","20131",13-Aug-07,50
13,"Songa ss"," 161 "," 10 "," 50 ",381,"Muheza","20145",13-Aug-07,50
14,"Semkiwa ss"," 304 "," 24 "," 50 ",9,"Korogwe","18691","20/0/8",50
15,"Tamota ss"," 176 "," 9 "," 50 ",29,"Bumbuli","20166",17-Aug-07,50
16,"Kifungilo Girls ss"," 453 "," 26 "," 50 ",37,"Lushoto","20167",06-Aug-07,50
17,"Maramba ss"," 284 "," 19 "," 50 ",76,"Maramba","20128",06-Aug-07,50
18,"Funguni ss / Macechu ss"," 176 "," 15 "," 50 ",130,"Pangani","20124",01-Aug-07,50
19,"Usagara SS"," 1,250 "," 92 "," 100 ",330,"Tanga","20101",31-Jul-07,100
20,"Kilimangwido ss"," 185 "," 6 "," 50 ",79,"Pangani","18893",31-Jul-07,50
21,"Galanos ss"," 549 "," 38 "," 50 ",5019,"Tanga","20102",01-Aug-07,50
22,"Mlingano ss"," 275 "," 18 "," 50 ",79,"Muheza","20135",15-Aug-07,50
23,"Rangwi ss"," 249 "," 11 "," 50 ",238,"Lushoto","20191",31-Aug-07,50
24,"Lanzoni SS"," 150 "," 14 "," 50 ",76,"Maramba","20134",15-Aug-07,50
25,"Lwandai SS"," 290 "," 22 "," 50 ",152,"Mlalo","20168",06-Aug-07,50
26,"Magila SS"," 285 "," 18 "," 50 ",79,"Muheza","20136",16-Aug-07,50
27,"Mbaramo SS"," 415 "," 16 "," 50 ",116,"Muheza","20143",06-Aug-07,50
28,"Magoma SS"," 186 "," 10 "," 50 ",370,"Korogwe","18688",05-Aug-07,50
29,"Tanga Tech.School"," 800 "," 36 "," 50 ",5002,"Tanga","20103",31-Jul-07,50
30,"Kwa mkono ss"," 211 "," 6 "," 50 ","p/bag","Handeni","20159",02-Aug-07,50
31," Ngomeni ss"," 269 "," 12 "," 50 ","p/bag","Korogwe","20130",15-Aug-07,50
32,"Kwadiboma ss"," 278 "," 12 "," 50 ","p/bag","Handeni","20160",02-Aug-07,50
33,"Seuta ss"," 93 "," 7 "," 50 ",356,"Handeni","20161",02-Aug-07,50
34,"Mazinde ss"," 252 "," 16 "," 50 ",15,"Mazinde","18699",01-Aug-07,50
35," Chief Mangenya ss"," 311 "," 13 "," 50 ",543,"Korogwe","20140",16-Aug-07,50
36,"Korogwe TTC ss"," 350 "," 16 "," 75 ",533,"Korogwe","18687",31-Jul-07,75
37,"Soni ss"," 394 "," 18 "," 50 ",67,"Lushoto","20173",11-Aug-07,50
38,"Kongei ss "," 160 "," 13 "," 50 ",61,"Lushoto","20172",11-Aug-07,50
39,"Kwemvumo ss"," 310 "," 15 "," 50 ",15,"Lushoto","20170",11-Aug-07,50
40,"Mkwakwani ss"," 824 "," 38 "," 75 ",5847,"Tanga","20104",31-Jul-07,75
41,"Mlongwema"," 197 "," 7 "," 50 ",16,"Lushoto","20169",01-Sep-07,50
42,"Zingibari ss"," 219 "," 7 "," 50 ",5363,"Tanga","20129",06-Aug-07,50
43,"Kabuku ss"," 309 "," 17 "," 50 ",90,"Korogwe","18694",21-Aug-07,50
44,"Mlalo ss"," 300 "," 16 "," 50 ",30,"Lushoto","20174",17-Aug-07,50
45,"An-noor Islamic boys sem"," 119 "," 6 "," 50 ",801,"Tanga","20105",02-Aug-07,50
46,"Al-kheir Islamic Girls sem"," 109 "," 8 "," 50 ",801,"Tanga","20106",31-Jul-07,50
47,"Kwemaramba ss"," 240 "," 17 "," 50 ",67,"Soni -Lushoto","20175",17-Aug-07,50
48,"Bumbuli ss"," 100 "," 9 "," 50 ",13,"Bumbuli","20188",13-Aug-07,50
49,"Soni Seminary"," 103 "," 9 "," 50 ",2,"Soni -Lushoto","20171",11-Aug-07,50
50,"Eckenforde ss"," 915 "," 30 "," 75 ",5032,"Tanga","20107",02-Aug-07,75
51,"Jumuiya ss"," 329 "," 12 "," 50 ",105,"Tanga","20108",31-Jul-07,50
52,"Kange Techinical "," 280 "," 14 "," 50 ",105,"Tanga","20109",02-Aug-07,50
53,"Popatlal ss"," 693 "," 35 "," 100 ",5007,"Tanga","20110",02-Aug-07,100
54,"Sahare ss"," 229 "," 13 "," 50 ",910,"Tanga","20111",02-Aug-07,50
55,"Mnazi ss"," 187 "," 10 "," 50 ","p/bag","Mnazi Mombo","18700",02-Aug-07,50
56,"Sunga"," 94 "," 5 "," 50 ","p/bag","Lushoto","20176",31-Aug-07,50
57,"Vugabazo ss"," 131 "," 8 "," 50 ","p/bag","Lushoto","20177",11-Aug-07,50
58,"Lukozi ss"," 137 "," 8 "," 50 ","p/bag","Lushoto","20178",06-Aug-07,50
59,"Hegongo ss"," 298 "," 14 "," 50 ","p/bag","Muheza","20144",16-Aug-07,50
60,"Bangala Jnr seminary"," 250 "," 12 "," 50 ","p/bag","Lushoto","20179",12-Aug-07,50
61,"Coastal High School"," 210 "," 9 "," 50 ","p/bag","Tanga","20112",31-Jul-07,50
62,"St.Christine ss"," 86 "," 8 "," 50 ","p/bag","Tanga","20113",02-Aug-07,50
63,"Maawal ss"," 298 "," 7 "," 50 ","p/bag","Tanga","20114",31-Jul-07,50
64,"Muheza Muslim Sem"," 292 "," 11 "," 50 ",484,"Muheza","20142",10-Aug-07,50
65,"Rosmini ss"," 129 "," 11 "," 50 ",5053,"Tanga","20115",02-Aug-07,50
66,"Old Tanga ss",,," 50 ",,,"20116",31-Jul-07,50
67,"Veta",,," 50 ",,,"20117",01-Aug-07,50
68,"Haki ss",,," 50 ",,"Tanga","20118",01-Aug-07,50
69,"Japan ss",,," 50 ",,,"20119",01-Aug-07,50
70,"Malimbwi ss      Kivilicha ss",,," 50 ",,"Lushoto","20187",27-Aug-07,50
71,"Kitivo ss",,," 50 ",,"Lushoto","20149",01-Sep-07,50
72,"Kilulu ss",,," 50 ",,"Lushoto","20139",13-Aug-07,50
73,"Ubiri ss",,," 50 ",,"Lushoto","20182",11-Aug-07,50
74,"Mkuyu ss",,," 50 ",,"Lushoto","20162",02-Aug-07,50
75,"Mbelei ss",,," 50 ",,"Lushoto","20183",06-Aug-07,50
76,"Kiomoni ss",,," 50 ",,"Tanga","20120",03-Aug-07,50
77,"Nguvumali ss",,," 50 ",,"Tanga","20122",01-Aug-07,50
78,"Shekilango ss",,," 50 ",,"Korogwe","18698",10-Aug-07,50
79,"Mkalamo ss",,," 50 ",,"Korogwe","18696",01-Aug-07,50
80," Besha ss",,," 50 ",,"Korogwe","20127",01-Aug-07,50
81,"Segera ss",,," 50 ",,"Korogwe","18695",30-Jul-07,50
82,"Mnyuzi ss",,," 50 ",,"Korogwe","20153",02-Aug-07,50
83,"Goba ss   Kitala ss",,," 50 ",,"Muheza","20186",23-Aug-07,50
84,"Shemsanga ss ",,," 50 ",,"Muheza","18692",30-Jul-07,50
85,"Tengeni ss / Kihere ss",,," 50 ",,"Muheza","20126",02-Aug-07,50
86,"Hale ss",,," 50 ",,"Korogwe","18693",21-Aug-07,50
87,"Nkumba ss",,," 50 ",,"Muheza","20141",14-Aug-07,50
88,"Shebomeza ss",,," 50 ",,"Muheza","20132",14-Aug-07,50
89,"Kerenge ss",,," 50 ",,"Muheza","20138",13-Aug-07,50
90,"Korogwe TTC",,," 75 ",,"Korogwe","18687",31-Jul-07,75
91,"Hemtoye ss / Mikanjuni ss",,," 50 ",,,"20125",08-Aug-07,50
92,"Kisaba ss",,," 50 ",,,"20185",17-Aug-07,50
93,"Toledo ss",,," 50 ",,,"20146",07-Aug-07,50
94,"Kifilicha ss / Mwapachu ss",,," 50 ",,,"20147",09-Aug-07,50
95," Horten ss",,," 50 ",,,"20148",09-Aug-07,50
96,"Mfundia ss",,," 50 ",,,"20154",02-Aug-07,50
97,"Madago ss",,," 50 ",,,"20189",10-Aug-07,50
98,"Chekelei ss",,," 50 ",,,"20190",10-Aug-07,50
99,"Kweijigo ss",,," 50 ",,,"20163",02-Aug-07,50
100,"Misima ss",,," 50 ",,,"20164",02-Aug-07,50
101,"Mazingira ss",,," 50 ",,,"20165",02-Aug-07,50
102,"Funguni ss / Macechu ss",,," 50 ",,,"20123",02-Aug-07,50
103,"Eckenforde Teachers College",,," 50 ",,,"20121",02-Aug-07,50
,," 20,038 "," 1,121 "," 5,350 ",,,,,"5,350"
,,,,,,,,,
1645,,"Grand Total school copies      ",," 92,650 ",,,,," 88,275 "
